Name,Score,Genders,Type,Source,Popularity,Favorites
Majuu Sensen: The Apocalypse,5.39,"Action, Super Power, Demons, Supernatural, Shounen",TV,Manga,9005,0
Pokemon: Mewtwo! Ware wa Koko ni Ari,7.06,"Action, Adventure, Comedy, Drama, Fantasy, Kids",Special,Game,1965,51
Rockman.EXE,6.93,"Action, Game, Sci-Fi, Adventure, Comedy, Mecha, Shounen",TV,Game,2895,146
Ryuusei Sentai Musumet,5.89,"Adventure, Comedy, Ecchi, Romance, Sci-Fi",TV,Unknown,8470,4
Shin Seiki Den Mars,5.67,"Mecha, Sci-Fi, Shounen",TV,Manga,10336,1
Submarine Super 99,6.24,"Action, Military, Sci-Fi, Adventure, Shounen",TV,Manga,9726,2
Winter Garden,6.59,"Drama, Romance, Shoujo, Slice of Life",Special,Unknown,5721,13
Rozen Maiden: Ouvertüre,7.73,"Action, Comedy, Drama, Magic, Seinen",Special,Manga,2113,258
To Heart 2 OVA,6.9,"Comedy, Drama, Harem, Romance, School",OVA,Visual novel,5970,8
Hitohira,6.77,"Drama, Romance, School, Seinen, Slice of Life",TV,Manga,3805,30
Nagasarete Airantou,7.27,"Harem, Comedy, Romance, Ecchi, Fantasy, Shounen",TV,Manga,1602,390
Clannad Movie,7.25,"Drama, Romance, Fantasy, School",Movie,Visual novel,1030,458
Saint October,6.39,"Adventure, Fantasy",TV,Original,6305,9
Keitai Shoujo,5.33,"Comedy, Romance, School, Drama",ONA,Visual novel,6575,4
Devil May Cry,6.98,"Action, Demons, Fantasy",TV,Game,563,1733
Shinkyoku Soukai Polyphonica,6.84,"Drama, Fantasy, Music, Romance, School",TV,Visual novel,3021,47
Super GALS! Kotobuki Ran,7.42,"Comedy, Slice of Life, Shoujo",TV,Manga,4064,173
Maria-sama ga Miteru 3rd,7.85,"Drama, School, Shoujo Ai, Slice of Life",OVA,Light novel,3775,84
Tales of Symphonia The Animation: Sylvarant-hen,7.18,"Action, Adventure, Magic, Martial Arts, Fantasy",OVA,Game,2338,161
Negima!? Natsu Special!?,7.12,"Ecchi, Fantasy, Comedy, Romance",OVA,Manga,4022,23
eX-Driver: Nina & Rei Danger Zone,6.48,"Action, Sci-Fi, Cars",OVA,Original,7427,3
Ajimu: Kaigan Monogatari,6.37,"Comedy, Drama, Romance, School",ONA,Original,4421,25
Naruto: Shippuuden,8.16,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,Manga,18,84651
B'T X Neo,7.15,"Action, Adventure, Shounen",OVA,Manga,6917,20
Uchuu Senshi Baldios,6.5,"Sci-Fi, Adventure, Space, Drama, Mecha, Shounen",TV,Unknown,9397,6
Muteki Kanban Musume,7.11,"Action, Comedy, Martial Arts, Parody, Shounen",TV,Manga,3914,57
Shibawanko no Wa no Kokoro,NA,Kids,TV,Unknown,11799,0
Naikaku Kenryoku Hanzai Kyousei Torishimarikan Zaizen Joutarou,5.51,"Action, Police, Drama, Seinen",TV,Manga,10055,2
Hit wo Nerae! Specials,5.48,"Comedy, Ecchi",Special,Original,9558,0
Souryuuden,6.56,"Mystery, Super Power, Supernatural, Drama",OVA,Novel,8255,8
Super Milk-chan,5.83,"Action, Comedy, Parody, Sci-Fi",TV,Unknown,7255,16
Wagamama☆Fairy Mirumo de Pon!,7.3,"Kids, Adventure, Fantasy, Magic, Comedy, Romance, School, Drama, Shoujo",TV,Manga,4156,187
Wild 7 Another Bouryaku Unga,5.28,"Action, Adventure, Police, Shounen",TV,Manga,11158,0
Zoids Fuzors,6.42,"Adventure, Mecha, Sci-Fi, Shounen",TV,Unknown,4944,17
Freedom,7.45,"Action, Sci-Fi, Adventure, Space",OVA,Original,3622,66
Piyoko ni Omakase pyo!,6.59,"Comedy, Sci-Fi, Shounen",OVA,Unknown,8644,6
Amaenaide yo!!: Yasumanaide yo!!,6.68,"Ecchi, Comedy, Romance, Supernatural",Special,Unknown,4364,2
Amaenaide yo!! Katsu!!: Damasarenaide yo!!,6.63,"Ecchi, Comedy, Romance, Supernatural",Special,Unknown,4488,11
