Name,Score,Genders,Type,Source,Popularity,Favorites
Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,Original,39,61971
Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Movie,Original,518,1174
Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,Manga,201,12944
Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,Original,1467,587
Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",TV,Manga,4369,18
Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",TV,Manga,1003,2066
Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",TV,Manga,687,4101
Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen",TV,Manga,3612,231
Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",TV,Manga,1233,979
Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,Manga,169,29436
Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,Manga,8,65586
One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,Manga,31,126645
Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",TV,Manga,1039,3124
Ring ni Kakero 1,6.38,"Action, Shounen, Sports",TV,Manga,7333,16
School Rumble,7.94,"Comedy, Romance, School, Shounen",TV,Manga,514,5137
Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,Manga,1284,790
Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",TV,Original,823,3671
Trinity Blood,7.32,"Action, Supernatural, Vampire",TV,Light novel,936,1479
Yakitate!! Japan,7.95,"Comedy, Shounen",TV,Manga,1666,887
Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,Manga,3985,152
Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,Original,54,71308
Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",Movie,Original,833,588
Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,Original,195,17811
Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,Manga,301,18567
Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,Manga,265,10362
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,Manga,637,6111
Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,Manga,345,11236
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Movie,Manga,2411,107
Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,Manga,197,9555
.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,Original,940,1359
Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,Manga,2360,267
Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",TV,Manga,1083,1124
Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",OVA,Manga,2419,215
Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,Manga,2232,290
Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",TV,Manga,1465,458
Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Movie,Manga,1901,173
Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,Game,4259,17
Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",TV,Original,4073,21
Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",TV,Manga,570,7038
Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,Original,1886,389
Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,Manga,332,3859
Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",TV,Manga,742,2064
D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",TV,Manga,891,1523
D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",TV,Visual novel,1852,189
DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",TV,Manga,1146,391
Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",TV,Manga,846,2074
Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",TV,Manga,1479,516
Azumanga Daioh,7.98,"Slice of Life, Comedy, School",TV,4-koma manga,554,5181
Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",TV,Manga,940,1467
Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",TV,Manga,622,1955
Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",TV,Original,5061,13
Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",TV,Light novel,322,4417
Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",TV,Light novel,571,2988
Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",TV,Light novel,639,1358
Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",TV,Manga,1640,1613
Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",TV,Original,2523,255
Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",TV,Original,1550,1036
Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",TV,Original,2075,1014
Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",TV,Visual novel,600,1572
Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",TV,Original,1427,1787
Mobile Suit Gundam: The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,Original,1948,911
Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",OVA,Original,2444,717
Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha",Movie,Original,4660,3
Mobile Suit Gundam 0083: Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",OVA,Original,2791,230
Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",TV,Original,2159,1721
Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",TV,Original,2941,130
Mobile Suit Gundam: Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",Movie,Novel,2773,293
Mobile Suit Gundam F91,6.67,"Drama, Mecha, Military, Sci-Fi, Space",Movie,Unknown,3387,63
Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",TV,Original,3588,95
Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",TV,Original,1118,2538
Mobile Suit Gundam Wing: Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,Original,2512,221
After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,Original,3043,189
Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,Original,1057,3584
Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,Original,1530,1206
Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",TV,Original,2714,760
Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,Original,2109,896
Last Exile,7.82,"Action, Sci-Fi, Adventure",TV,Original,995,1848
Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",TV,Original,1381,1262
Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",TV,Original,2370,333
Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,Manga,2162,457
Air,7.32,"Slice of Life, Supernatural, Drama, Romance",TV,Visual novel,563,2704
Aishiteruze Baby★★,7.48,"Comedy, Drama, Romance, Shoujo",TV,Manga,1529,571
Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",TV,Manga,4551,88
Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",TV,Manga,2182,535
Boys Be...,6.46,"Slice of Life, Comedy, Romance, Shounen",TV,Manga,3665,41
Hana yori Dango,7.7,"Drama, Romance, School, Shoujo",TV,Manga,2293,762
Ou Dorobou Jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",TV,Manga,2817,210
Ou Dorobou Jing in Seventh Heaven,7.29,"Adventure, Fantasy, Psychological, Comedy, Shounen",OVA,Manga,4619,29
Bakuretsu Tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi",TV,Original,1965,257
Chuuka Ichiban!,7.63,"Action, Comedy, Drama, Shounen",TV,Manga,4086,107
Corrector Yui,6.83,"Sci-Fi, Adventure, Comedy, Magic",TV,Original,4519,50
Chou Henshin Cosprayers,4.95,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",TV,Original,5542,5
Uchuu no Stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space",TV,Original,3577,127
Sakigake!! Cromartie Koukou,7.93,"Comedy, School, Shounen",TV,Manga,1279,1561
El Hazard: The Alternative World,6.83,"Adventure, Comedy, Fantasy",TV,Original,4961,10
El Hazard: The Wanderers,6.97,"Adventure, Comedy, Romance, Fantasy",TV,Original,4198,35
El Hazard: The Magnificent World,7.32,"Adventure, Comedy, Romance, Fantasy",OVA,Original,4129,91
El Hazard 2: The Magnificent World,6.85,"Adventure, Comedy, Fantasy",OVA,Original,5421,5
Final Approach,6.56,"Comedy, Drama, Romance, Slice of Life",TV,Visual novel,2887,48
Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,Manga,314,9504
Fullmetal Alchemist,8.17,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,Manga,52,26564
Full Moon wo Sagashite,7.96,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",TV,Manga,1519,1823
Fushigi Yuugi,7.64,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",TV,Manga,1434,2277
Fushigi Yuugi: Eikouden,6.86,"Adventure, Fantasy, Romance, Drama, Shoujo",OVA,Manga,4101,69
Futakoi,6.49,"Comedy, Romance, School",TV,Original,2900,22
Futakoi Alternative,6.91,"Comedy, Drama, Romance",TV,Original,3071,71
Gate Keepers,6.96,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",TV,Game,3717,59
Gate Keepers 21,6.79,"Action, Drama, Mecha, Sci-Fi, Shounen",OVA,Game,5026,23
Gensoumaden Saiyuuki,7.59,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",TV,Manga,2359,833
Saiyuuki Reload,7.41,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,Manga,3071,116
Saiyuuki Reload Gunlock,7.42,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,Manga,3724,51
GetBackers,7.61,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",TV,Manga,1339,911
Green Green,6.21,"Comedy, Ecchi, Romance, School, Slice of Life",TV,Visual novel,1333,263
Gunslinger Girl,7.42,"Action, Psychological, Military, Drama, Sci-Fi",TV,Manga,920,1140
Hikaru no Go,8.11,"Comedy, Game, Shounen, Supernatural",TV,Manga,1287,2186
Hunter x Hunter,8.42,"Action, Adventure, Super Power, Fantasy, Shounen",TV,Manga,319,9525
Hunter x Hunter: Original Video Animation,8.33,"Action, Adventure, Super Power, Shounen",OVA,Manga,1375,408
Hunter x Hunter: Greed Island,8.21,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,Manga,1244,318
Hunter x Hunter: Greed Island Final,8.29,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,Manga,1288,268
Jinki:Extend,6.14,"Mecha, Sci-Fi",TV,Manga,4923,10
Kamikaze Kaitou Jeanne,7.45,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",TV,Manga,2363,499
Kannazuki no Miko,6.87,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",TV,Manga,2000,767
Kanon,7.11,"Drama, Romance, Slice of Life, Supernatural",TV,Visual novel,2105,248
Kareshi Kanojo no Jijou,7.61,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",TV,Manga,875,2188
Kono Minikuku mo Utsukushii Sekai,6.76,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",TV,Original,2145,178
Kimi ga Nozomu Eien,7.24,"Drama, Romance, Slice of Life",TV,Visual novel,1187,1072
Kita e.: Diamond Dust Drops,6.62,"Drama, Romance, Slice of Life",TV,Visual novel,5411,9
Loveless,6.86,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai",TV,Manga,1215,1632
Blood+,7.66,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire",TV,Original,431,4623
Re: Cutey Honey,7.12,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai",OVA,Manga,3430,133
Solty Rei,7.28,"Action, Sci-Fi, Super Power",TV,Original,3233,124
Juuni Kokuki,8.06,"Action, Adventure, Fantasy, Magic, Supernatural",TV,Novel,1266,2261
Shaman King,7.78,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",TV,Manga,477,3672
X/1999,6.59,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural",Movie,Manga,2904,128
X,7.43,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo",TV,Manga,1818,796
Mahou Sensei Negima!,6.98,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural",TV,Manga,1208,601
Maria-sama ga Miteru,7.34,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai",TV,Light novel,2170,663
Boukyaku no Senritsu,6.34,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural",TV,Manga,3975,43
"Ima, Soko ni Iru Boku",7.66,"Adventure, Drama, Fantasy, Military, Sci-Fi",TV,Original,1309,1018
Peace Maker Kurogane,7.33,"Action, Comedy, Historical, Samurai, Shounen",TV,Manga,2251,307
Pita Ten,6.94,"Comedy, Fantasy, Kids, Romance, School, Shounen",TV,Manga,3626,104
Power Stone,6.48,"Adventure, Comedy, Fantasy, Historical, Shounen",TV,Game,5874,20
Mononoke Hime,8.72,"Action, Adventure, Fantasy",Movie,Original,91,17114
RahXephon,7.42,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",TV,Original,1395,949
Samurai 7,7.48,"Historical, Mecha, Samurai, Sci-Fi",TV,Other,1295,744
Scrapped Princess,7.41,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen",TV,Light novel,1637,433
s.CRY.ed,7.38,"Action, Sci-Fi, Adventure, Super Power, Drama",TV,Original,1787,673
Shingetsutan Tsukihime,6.91,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire",TV,Visual novel,1086,654
Slam Dunk,8.53,"Comedy, Drama, School, Shounen, Sports",TV,Manga,728,5471
Strange Dawn,6.35,"Adventure, Drama, Fantasy",TV,Original,7014,7
Tactics,7.23,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen",TV,Manga,2670,184
Tenjou Tenge,6.93,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen",TV,Manga,934,647
Tokyo Underground,6.63,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",TV,Manga,3254,41
Triangle Heart: Sweet Songs Forever,6.19,"Adventure, Romance",OVA,Visual novel,5991,6
Tsubasa Chronicle,7.55,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen",TV,Manga,759,2284
Ultra Maniac,7.18,"Comedy, Magic, Romance, School, Shoujo",TV,Manga,3103,141
Ultra Maniac OVA,6.69,"Comedy, Magic, Romance, School",OVA,Unknown,6509,4
Vandread,7.21,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",TV,Original,1771,436
Vandread: The Second Stage,7.42,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",TV,Original,2326,117
Tenkuu no Escaflowne,7.7,"Adventure, Psychological, Romance, Fantasy, Mecha",TV,Original,1157,2086
Whistle!,7.39,"School, Shounen, Sports",TV,Manga,4545,73
Xenosaga The Animation,6.37,"Action, Mecha, Sci-Fi, Shounen, Space",TV,Game,3838,46
Initial D First Stage,8.29,"Action, Cars, Drama, Seinen, Sports",TV,Manga,638,6949
Initial D Second Stage,8.12,"Action, Cars, Drama, Seinen, Sports",TV,Manga,1095,691
Initial D Third Stage,7.89,"Action, Cars, Sports, Drama, Romance, Seinen",Movie,Manga,1270,469
Gosenzo San'e,6.11,"Comedy, Hentai, Mystery, Supernatural",OVA,Original,8469,4
Love Hina,7.14,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",TV,Manga,645,1584
Love Hina Again,7.25,"Comedy, Drama, Ecchi, Romance, Shounen",OVA,Manga,1715,95
Love Hina Christmas Special: Silent Eve,7.34,"Slice of Life, Comedy, Romance",Special,Manga,2177,49
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,7.21,"Adventure, Comedy, Romance",Special,Unknown,2307,23
Maburaho,6.8,"Comedy, Drama, Ecchi, Harem, Magic, Romance, School",TV,Light novel,1583,259
Macross Zero,7.55,"Adventure, Mecha, Military, Sci-Fi, Shounen",OVA,Original,2809,125
Onegai☆Teacher,7.17,"Sci-Fi, Comedy, Drama, Romance, School",TV,Original,1008,926
Onegai☆Twins,6.88,"Comedy, Drama, Harem, School, Sci-Fi",TV,Original,1699,192
Rizelmine,6.55,"Sci-Fi, Comedy, Romance, Ecchi, School",TV,Manga,3495,51
Speed Grapher,7.35,"Action, Mystery, Super Power",TV,Original,1458,602
Sen to Chihiro no Kamikakushi,8.83,"Adventure, Supernatural, Drama",Movie,Original,41,25610
Tenshi na Konamaiki,7.48,"Comedy, Magic, Romance, Shounen",TV,Manga,3426,133
Video Girl Ai,7.21,"Comedy, Drama, Ecchi, Romance",OVA,Manga,3409,107
Wolf's Rain,7.82,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",TV,Original,528,5716
Words Worth,6.75,"Adventure, Hentai, Demons, Magic, Fantasy",OVA,Visual novel,5518,38
Yumeria,6.11,"Action, Comedy, Ecchi, Harem, Super Power",TV,Visual novel,3283,35
Samurai Champloo,8.5,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,Original,86,29414
Lodoss-tou Senki: Eiyuu Kishi Den,7.16,"Action, Adventure, Drama, Magic, Romance, Fantasy",TV,Novel,3255,117
Lodoss-tou Senki,7.4,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural",OVA,Novel,2236,487
R.O.D: Read or Die,7.67,"Action, Sci-Fi, Adventure, Mystery, Historical, Magic",OVA,Light novel,2075,317
R.O.D: The TV,7.55,"Action, Sci-Fi, Adventure, Comedy, Super Power, Drama",TV,Light novel,1971,423
Ranma ½,7.76,"Slice of Life, Comedy, Martial Arts, Fantasy, Shounen",TV,Manga,767,3665
Pure Mail,6.26,Hentai,OVA,Visual novel,7731,14
Project A-Ko,6.86,"Action, Adventure, Comedy, Mecha, Sci-Fi, Super Power",Movie,Original,4227,104
Pia Carrot e Youkoso!!,6.02,"Comedy, Romance, Hentai",OVA,Unknown,7767,5
Pia Carrot e Youkoso!! 2,6.15,"Comedy, Romance, Hentai",OVA,Unknown,8715,4
Pia Carrot e Youkoso!! 2 DX,6.31,"Comedy, Romance",OVA,Visual novel,8682,3
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,5.94,"Comedy, Romance",Movie,Visual novel,8347,3
Shin Angel,6.28,"Comedy, Drama, Hentai, Romance",OVA,Unknown,8362,13
Kidou Senkan Nadesico,7.52,"Action, Comedy, Mecha, Military, Parody, Romance, Sci-Fi, Shounen, Space",TV,Original,2424,420
Kidou Senkan Nadesico: The Prince of Darkness,6.77,"Action, Comedy, Drama, Mecha, Psychological, Sci-Fi, Shounen, Space",Movie,Original,4347,33
Kuro no Danshou,5.76,"Hentai, Horror",OVA,Unknown,8552,7
Mezzo Forte,6.65,"Action, Comedy, Hentai, Sci-Fi",OVA,Original,3299,93
Mezzo DSA,6.68,"Action, Adventure, Comedy, Mystery, Sci-Fi",TV,Original,3924,33
Dragon Ball,8,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,Manga,120,13454
Dragon Ball GT,6.48,"Action, Sci-Fi, Adventure, Comedy, Super Power, Magic, Fantasy, Shounen",TV,Manga,262,1878
Elfen Lied,7.56,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen",TV,Manga,49,23830
FLCL,8.03,"Action, Sci-Fi, Comedy, Parody, Dementia, Psychological, Mecha",OVA,Original,171,23432
Jigoku Shoujo,7.65,"Mystery, Horror, Psychological, Supernatural",TV,Original,490,3283
Ninin ga Shinobuden,6.92,"Comedy, Parody, Martial Arts",TV,Manga,2957,142
Air Master,7.02,"Action, Comedy, Martial Arts, Seinen",TV,Manga,2829,155
Asagiri no Miko,6.18,"Action, Comedy, Supernatural, Fantasy, Seinen",TV,Manga,5793,6
Cardcaptor Sakura,8.16,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo",TV,Manga,405,12901
Daa! Daa! Daa!,7.65,"Comedy, Sci-Fi, Shoujo",TV,Manga,3651,262
Dan Doh!!,6.69,"Adventure, Sports, Shounen",TV,Manga,7451,5
Detective Conan,8.16,"Adventure, Mystery, Comedy, Police, Shounen",TV,Manga,580,11827
E's Otherwise,6.64,"Adventure, Comedy, Drama, Military, Sci-Fi, Shounen, Supernatural",TV,Manga,4193,29
Koukyoushihen Eureka Seven,8.09,"Adventure, Drama, Mecha, Romance, Sci-Fi",TV,Original,351,9241
Rekka no Honoo,7.36,"Action, Adventure, Martial Arts, Shounen, Super Power",TV,Manga,2139,273
Gankutsuou,8.17,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,Novel,767,3521
Genshiken,7.66,"Slice of Life, Comedy, Parody",TV,Manga,976,1330
Girls Bravo: First Season,6.45,"Harem, Comedy, Romance, Ecchi, Fantasy, School, Shounen",TV,Manga,1194,329
Gokusen,7.42,"Slice of Life, Comedy, Drama, School, Josei",TV,Manga,2742,210
Gravitation,7.02,"Comedy, Music, Romance, Shoujo, Shounen Ai",TV,Manga,1391,1322
Agatha Christie no Meitantei Poirot to Marple,6.88,"Historical, Mystery",TV,Novel,5915,20
Great Teacher Onizuka,8.7,"Slice of Life, Comedy, Drama, School, Shounen",TV,Manga,184,20870
Groove Adventure Rave,7.27,"Adventure, Comedy, Fantasy, Romance, Shounen",TV,Manga,1600,381
Harukanaru Toki no Naka de: Hachiyou Shou,7.05,"Fantasy, Magic, Supernatural, Demons, Historical, Shoujo",TV,Visual novel,3581,123
Ichigo 100%,6.68,"Comedy, Ecchi, Harem, Romance, Shounen",TV,Manga,1440,262
InuYasha,7.85,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen",TV,Manga,187,17186
Konjiki no Gash Bell!!,7.55,"Adventure, Comedy, Demons, Supernatural, Magic, Shounen",TV,Manga,1417,1143
Kyou kara Maou!,7.7,"Adventure, Comedy, Demons, Fantasy, Shoujo",TV,Light novel,1513,1475
Madlax,7.07,"Military, Mystery, Psychological, Supernatural, Drama, Magic, Shounen",TV,Original,2720,149
Jungle wa Itsumo Hare nochi Guu,7.84,"Slice of Life, Comedy, School",TV,Manga,2987,397
Jungle wa Itsumo Hare nochi Guu Deluxe,7.83,"Comedy, Slice of Life",OVA,Manga,4696,25
Jungle wa Itsumo Hare nochi Guu Final,7.65,"Slice of Life, Comedy",OVA,Manga,5078,14
Hoshi no Koe,7.22,"Sci-Fi, Space, Drama, Romance, Mecha",OVA,Original,1122,551
Ikkitousen,6.45,"Ecchi, Super Power, Martial Arts, School",TV,Manga,1118,439
Hitsuji no Uta,6.23,"Horror, Drama, Vampire",OVA,Manga,4165,38
Happy☆Lesson,6.64,"Comedy, Harem, Romance, School",OVA,Unknown,4844,18
Happy☆Lesson (TV),6.67,"Comedy, Drama, Harem, Romance, Slice of Life",TV,Manga,3355,30
Happy☆Lesson: Advance,6.84,"Comedy, Harem, Romance, Slice of Life",TV,Manga,4410,8
Happy☆Lesson: The Final,6.83,"Comedy, Harem, Romance, School",OVA,Manga,5270,5
Hajime no Ippo,8.75,"Comedy, Sports, Drama, Shounen",TV,Manga,345,15543
Hajime no Ippo: Champion Road,8.29,"Comedy, Shounen, Sports",Special,Manga,1418,220
Hajime no Ippo: Mashiba vs. Kimura,8.23,"Comedy, Sports, Shounen",OVA,Manga,1702,155
Gunparade March: Arata Naru Kougunka,6.8,"Drama, Mecha, Military, Romance, Sci-Fi, Shounen, Slice of Life",TV,Game,4264,26
Gungrave,7.87,"Action, Drama, Sci-Fi, Seinen, Super Power",TV,Game,963,2294
Golden Boy,8.03,"Adventure, Comedy, Ecchi",OVA,Manga,579,3784
Bleach,7.8,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",TV,Manga,33,54386
Hellsing,7.5,"Action, Horror, Supernatural, Vampire, Seinen",TV,Manga,205,5798
Gad Guard,6.7,"Sci-Fi, Adventure, Mecha, Shounen",TV,Original,4549,22
Noir,7.31,"Action, Mystery, Drama",TV,Original,1475,823
Mahoutsukai ni Taisetsu na Koto,6.75,"Slice of Life, Drama, Magic, Shounen",TV,Manga,3479,38
Kiddy Grade,7.22,"Action, Sci-Fi, Super Power, Ecchi, Mecha",TV,Original,2531,279
Love♥Love?,5.91,"Ecchi, Comedy, Harem, Romance",TV,Original,3713,15
Mahoromatic: Automatic Maiden,7.18,"Comedy, Ecchi, Military, Romance, Sci-Fi",TV,Manga,2174,198
Mahoromatic: Motto Utsukushii Mono,7.17,"Military, Sci-Fi, Comedy, Drama, Romance, Ecchi",TV,Manga,3042,44
Viewtiful Joe,6.75,"Action, Sci-Fi, Comedy, Shounen",TV,Game,5009,33
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,7.15,"Fantasy, Historical, Horror, Mystery, Psychological, Supernatural",TV,Novel,2944,114
Animal Yokochou,6.83,"Adventure, Comedy, Fantasy, Shoujo",TV,Manga,8571,9
Akane Maniax,5.74,"Comedy, Mecha, Romance",OVA,Visual novel,3933,13
Angel Heart,7.3,"Action, Mystery, Drama, Romance, Seinen",TV,Manga,4203,72
Akage no Anne,7.7,"Slice of Life, Historical, Drama",TV,Novel,3492,506
